area_code,sla_code,unemployed
805250609,805250609,70
805250819,805250819,103
805251359,805251359,109
805251549,805251549,90
805252349,805252349,55
805253159,805253159,56
805253289,805253289,135
805253339,805253339,72
805253379,805253379,20
140030471,140030471,958
805254509,805254509,77
805254869,805254869,280
805255489,805255489,30
805256129,805256129,92
805256579,805256579,38
805257289,805257289,70
805258019,805258019,70
805258189,805258189,0
805258379,805258379,157
805350369,805350369,15
140070473,140070473,106
805351809,805351809,38
805352789,805352789,15
805352979,805352979,0
805353429,805353429,70
805353789,805353789,3
805354329,805354329,4
805354589,805354589,0
805354959,805354959,55
805356219,805356219,109
805356309,805356309,9
105157151,105157151,1542
140070850,140070850,205
805356759,805356759,3
805357029,805357029,0
805357119,805357119,56
805357929,805357929,18
805358919,805358919,39
805400239,805400239,55
805403519,805403519,65
805403529,805403529,0
805403689,805403689,5
805403819,805403819,6
140071400,140071400,220
805406039,805406039,0
805406249,805406249,153
805406279,805406279,85
805406719,805406719,89
810059009,810059009,4
140074870,140074870,716
140075274,140075274,104
140076100,140076100,107
140150800,140150800,127
140152350,140152350,351
140152900,140152900,243
140154600,140154600,196
140156200,140156200,527
105157152,105157152,1668
140158100,140158100,81
140206150,140206150,948
145056181,145056181,121
145056470,145056470,568
145101050,145101050,42
145103311,145103311,618
145103314,145103314,108
145103700,145103700,84
145106184,145106184,55
145107640,145107640,123
105200351,105200351,2140
145108710,145108710,184
145108750,145108750,332
145150550,145150550,936
145152750,145152750,1228
145201000,145201000,65
145202050,145202050,224
145207050,145207050,79
150057751,150057751,1568
150102000,150102000,105
150102200,150102200,219
105200353,105200353,1991
150103500,150103500,92
150104300,150104300,143
150104950,150104950,68
150105800,150105800,136
150107350,150107350,171
150107500,150107500,318
150107754,150107754,70
150151600,150151600,44
150153450,150153450,452
150153850,150153850,63
105200355,105200355,1118
150154750,150154750,276
150155550,150155550,36
155050050,155050050,1380
155053371,155053371,57
155102300,155102300,232
155103374,155103374,116
155107450,155107450,84
155107700,155107700,31
155150650,155150650,156
155151860,155151860,9
105201550,105201550,4315
155152500,155152500,171
155154250,155154250,27
155155500,155155500,145
155157800,155157800,75
155200300,155200300,61
155208200,155208200,167
160101250,160101250,688
160101700,160101700,89
160108809,160108809,8
205054601,205054601,617
105054800,105054800,939
105252851,105252851,5158
